Land,Year,Krafträder,Personenkraftwagen,Kraftomnibusse,Lastkraftwagen,"Zugmaschinen insgesamt","Darunter Sattelzugmaschinen","Sonstige Kfz",Insgesamt
Baden-Württemberg,2014,633413,6171168,8567,319784,362747,19663,30983,7526662
Bayern,2014,862403,7427661,13756,408154,644159,26073,47394,9403527
Berlin,2014,102129,1165215,2195,85664,5475,3429,8190,1368868
Brandenburg,2014,114297,1353356,2400,120443,45855,6807,11707,1648058
Bremen,2014,20393,280107,409,16297,3243,1918,1729,322178
Hamburg,2014,52128,750510,1663,50243,6950,3280,4473,865967
Hessen,2014,318507,3483965,5755,188240,142716,10392,20291,4159474
Mecklenburg-Vorpommern,2014,61153,825797,1622,74063,32688,5602,7561,1002884
Niedersachsen,2014,403383,4451016,7726,254989,238376,26499,29488,5384978
Nordrhein-Westfalen,2014,804763,9478829,16327,549240,238538,42619,45716,11133413
Rheinland-Pfalz ,2014,233912,2374497,5067,129215,144122,8921,14267,2901080
Saarland,2014,58197,608463,1292,31869,17344,1827,3117,720282
Sachsen,2014,159232,2094414,3815,175398,57766,9617,15015,2505640
Sachsen-Anhalt,2014,85230,1189962,2133,95488,40418,7897,10186,1423417
Schleswig-Holstein,2014,140661,1555863,2526,102657,74016,8429,11694,1887417
Thüringen,2014,92502,1163737,2225,98336,55342,5480,9199,1421341
Baden-Württemberg,2016,648699,6282597,8664,331954,366756,20638,31484,7670154
Bayern,2016,885891,7550273,13877,424397,652489,27362,48511,9575438
Berlin,2016,103150,1178417,2274,89879,5787,3577,8226,1387733
Brandenburg,2016,118455,1369736,2390,125007,47177,7000,11901,1674666
Bremen,2016,20530,284484,411,16706,3323,1982,1803,327257
Hamburg,2016,52535,761655,1714,52285,7076,3355,4578,879843
Hessen,2016,323002,3539412,5694,195227,144477,11043,20670,4228482
Mecklenburg-Vorpommern,2016,63022,832708,1672,76177,33634,5699,7859,1015072
Niedersachsen,2016,410403,4528650,7788,265383,241262,26879,30015,5483501
Nordrhein-Westfalen,2016,814495,9639714,16481,571593,242808,43991,46422,11331513
Rheinland-Pfalz ,2016,238034,2410786,5275,133226,145578,9351,14450,2947349
Saarland,2016,58937,615611,1269,32605,17714,1902,3124,729260
Sachsen,2016,163671,2107126,3879,179552,59274,9851,15252,2528754
Sachsen-Anhalt,2016,87032,1193889,2152,98641,41429,7828,10419,1433562
Schleswig-Holstein,2016,143348,1583822,2551,106634,74730,8603,12104,1923189
Thüringen,2016,94345,1167684,2224,100348,56679,5298,9330,1430610
Baden-Württemberg,2017,664475,6410321,8784,345941,370430,21604,32084,7832035
Bayern,2017,909914,7695182,14141,442591,660149,28809,49846,9771823
Berlin,2017,104530,1195149,2249,93141,6246,3906,8327,1409642
Brandenburg,2017,122940,1387847,2455,129479,48413,7276,12205,1703339
Bremen,2017,20446,290136,434,17843,3314,1927,1820,333993
Hamburg,2017,52838,771573,1764,54134,7357,3498,4701,907426
Hessen,2017,328323,3598862,5711,201919,146014,11611,21043,4301872
Mecklenburg-Vorpommern,2017,64960,840968,1710,78579,34365,5794,8046,1028628
Niedersachsen,2017,416109,4602743,7816,276245,244735,27975,30703,5578351
Nordrhein-Westfalen,2017,826012,9807338,16406,596838,246741,45557,47749,11541084
Rheinland-Pfalz ,2017,242095,2449404,5373,138920,146876,9560,14719,2997387
Saarland,2017,59831,622819,1171,33819,17980,1894,3149,738769
